[],,,,,,,,,,,,,,,,,,,,
[{'text': 'blind beggar', 'sentiment': {'score': -0.297065, 'label': 'negative'}, 'relevance': 0.943787, 'emotion': {'sadness': 0.612302, 'joy': 0.097384, 'fear': 0.030497, 'disgust': 0.079608, 'anger': 0.136136}}, {'text': '12th child', 'sentiment': {'score': -0.297065, 'label': 'negative'}, 'relevance': 0.837268, 'emotion': {'sadness': 0.612302, 'joy': 0.097384, 'fear': 0.030497, 'disgust': 0.079608, 'anger': 0.136136}}],,,
[{'text': 'necessary conversations', 'sentiment': {'score': -0.475155, 'label': 'negative'}, 'relevance': 0.996118, 'emotion': {'sadness': 0.742308, 'joy': 0.145904, 'fear': 0.070273, 'disgust': 0.007744, 'anger': 0.069715}}, {'text': 'Good morning', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.826508, 'emotion': {'sadness': 0.012573, 'joy': 0.907468, 'fear': 0.006708, 'disgust': 0.003799, 'anger': 0.024854}}],,,
[{'text': 'Lady Barbara Bush', 'sentiment': {'score': -0.838813, 'label': 'negative'}, 'relevance': 0.932782, 'emotion': {'sadness': 0.419923, 'joy': 0.193114, 'fear': 0.281972, 'disgust': 0.158484, 'anger': 0.1799}}, {'text': 'life-threatening illness', 'sentiment': {'score': -0.838813, 'label': 'negative'}, 'relevance': 0.781103, 'emotion': {'sadness': 0.419923, 'joy': 0.193114, 'fear': 0.281972, 'disgust': 0.158484, 'anger': 0.1799}}],,,
[{'text': 'flu pls', 'sentiment': {'score': -0.893586, 'label': 'negative'}, 'relevance': 0.901603, 'emotion': {'sadness': 0.269717, 'joy': 0.018708, 'fear': 0.252444, 'disgust': 0.035337, 'anger': 0.069186}}, {'text': 'CAUSE', 'sentiment': {'score': -0.893586, 'label': 'negative'}, 'relevance': 0.532111, 'emotion': {'sadness': 0.269717, 'joy': 0.018708, 'fear': 0.252444, 'disgust': 0.035337, 'anger': 0.069186}}],,,
[{'text': 'nearest clicks  https://t.co/WW3mPSlLhf', 'sentiment': {'score': -0.44703, 'label': 'negative'}, 'relevance': 0.991048}, {'text': 'flu vaccine', 'sentiment': {'score': -0.44703, 'label': 'negative'}, 'relevance': 0.758278, 'emotion': {'sadness': 0.049288, 'joy': 0.025581, 'fear': 0.069676, 'disgust': 0.042841, 'anger': 0.03815}}],,,,,,,,
[{'text': 'flu vaccinations', 'sentiment': {'score': -0.842729, 'label': 'negative'}, 'relevance': 0.929923, 'emotion': {'sadness': 0.153213, 'joy': 0.073292, 'fear': 0.134045, 'disgust': 0.026836, 'anger': 0.056926}}],,,,,,,,,,,,
Not enough data,,,,,,,,,,,,,,,,,,,,
[],,,,,,,,,,,,,,,,,,,,
[{'text': 'Bitcoin Behaves', 'sentiment': {'score': -0.556559, 'label': 'negative'}, 'relevance': 0.990447, 'emotion': {'sadness': 0.15062, 'joy': 0.077883, 'fear': 0.067059, 'disgust': 0.088491, 'anger': 0.10491}}, {'text': 'Flu', 'sentiment': {'score': -0.556559, 'label': 'negative'}, 'relevance': 0.689392, 'emotion': {'sadness': 0.15062, 'joy': 0.077883, 'fear': 0.067059, 'disgust': 0.088491, 'anger': 0.10491}}],,,
[],,,,,,,,,,,,,,,,,,,,
[{'text': 'flu nude slave', 'sentiment': {'score': -0.739969, 'label': 'negative'}, 'relevance': 0.982396, 'emotion': {'sadness': 0.139462, 'joy': 0.037886, 'fear': 0.360046, 'disgust': 0.569894, 'anger': 0.058837}}, {'text': 'women harassment pictures', 'sentiment': {'score': -0.739969, 'label': 'negative'}, 'relevance': 0.678942, 'emotion': {'sadness': 0.139462, 'joy': 0.037886, 'fear': 0.360046, 'disgust': 0.569894, 'anger': 0.058837}}],,,
[{'text': 'flu', 'sentiment': {'score': -0.90527, 'label': 'negative'}, 'relevance': 0.906772, 'emotion': {'sadness': 0.135577, 'joy': 0.000451, 'fear': 0.164057, 'disgust': 0.066912, 'anger': 0.271176}}],,,,,,,,,,,,
[{'text': 'Actual footage', 'sentiment': {'score': -0.812219, 'label': 'negative'}, 'relevance': 0.99305, 'emotion': {'sadness': 0.081025, 'joy': 0.021045, 'fear': 0.091919, 'disgust': 0.085312, 'anger': 0.114068}}, {'text': 'flu', 'sentiment': {'score': -0.744416, 'label': 'negative'}, 'relevance': 0.882464, 'emotion': {'sadness': 0.068902, 'joy': 0.033623, 'fear': 0.081452, 'disgust': 0.04156, 'anger': 0.073778}}],,,
[{'text': 'RT', 'sentiment': {'score': 0.353682, 'label': 'positive'}, 'relevance': 0.963337, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}, {'text': 'ItsMeTheAfrican', 'sentiment': {'score': 0.353682, 'label': 'positive'}, 'relevance': 0.85403}],,,,,,,,
[{'text': 'swine flu', 'sentiment': {'score': -0.581457, 'label': 'negative'}, 'relevance': 0.923576, 'emotion': {'sadness': 0.088844, 'joy': 0.02344, 'fear': 0.842006, 'disgust': 0.067223, 'anger': 0.044794}}, {'text': 'point', 'sentiment': {'score': -0.612264, 'label': 'negative'}, 'relevance': 0.509402, 'emotion': {'sadness': 0.151545, 'joy': 0.174219, 'fear': 0.093654, 'disgust': 0.072945, 'anger': 0.08686}}],,,
[{'text': 'Flu', 'sentiment': {'score': -0.678992, 'label': 'negative'}, 'relevance': 0.994019, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.931034, 'disgust': 0.0, 'anger': 0.0}}, {'text': 'Xhaka hasn', 'sentiment': {'score': -0.555038, 'label': 'negative'}, 'relevance': 0.890158, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
[{'text': 'flu mate', 'sentiment': {'score': -0.500514, 'label': 'negative'}, 'relevance': 0.90621, 'emotion': {'sadness': 0.091798, 'joy': 0.08168, 'fear': 0.064952, 'disgust': 0.040272, 'anger': 0.048484}}, {'text': 'Xhaka', 'sentiment': {'score': -0.500514, 'label': 'negative'}, 'relevance': 0.536676, 'emotion': {'sadness': 0.091798, 'joy': 0.08168, 'fear': 0.064952, 'disgust': 0.040272, 'anger': 0.048484}}],,,
[{'text': 'flu iyandinyisa maan', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.999751, 'emotion': {'sadness': 0.069996, 'joy': 0.019107, 'fear': 0.097457, 'disgust': 0.035695, 'anger': 0.027334}}],,,,,,,,,,,,
[{'text': 'flu n ur', 'sentiment': {'score': -0.598528, 'label': 'negative'}, 'relevance': 0.92666, 'emotion': {'sadness': 0.164743, 'joy': 0.017336, 'fear': 0.085362, 'disgust': 0.063085, 'anger': 0.077441}}, {'text': 'parents', 'sentiment': {'score': -0.598528, 'label': 'negative'}, 'relevance': 0.240547, 'emotion': {'sadness': 0.164743, 'joy': 0.017336, 'fear': 0.085362, 'disgust': 0.063085, 'anger': 0.077441}}],,,
[{'text': 'Flu', 'sentiment': {'score': -0.816301, 'label': 'negative'}, 'relevance': 0.947098, 'emotion': {'sadness': 0.223085, 'joy': 0.004509, 'fear': 0.182077, 'disgust': 0.356088, 'anger': 0.130151}}, {'text': 'oreos', 'sentiment': {'score': -0.816301, 'label': 'negative'}, 'relevance': 0.783228, 'emotion': {'sadness': 0.223085, 'joy': 0.004509, 'fear': 0.182077, 'disgust': 0.356088, 'anger': 0.130151}}],,,
[{'text': 'Flu Seriously', 'sentiment': {'score': -0.508349, 'label': 'negative'}, 'relevance': 0.985827, 'emotion': {'sadness': 0.096191, 'joy': 0.139358, 'fear': 0.090761, 'disgust': 0.302852, 'anger': 0.520558}}, {'text': 'https://t.co/StH5RXOAZr', 'sentiment': {'score': -0.508349, 'label': 'negative'}, 'relevance': 0.293778, 'emotion': {'sadness': 0.096191, 'joy': 0.139358, 'fear': 0.090761, 'disgust': 0.302852, 'anger': 0.520558}}],,,
[{'text': 'ayo Tester yaz', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.978107, 'emotion': {'sadness': 0.144548, 'joy': 0.185315, 'fear': 0.087573, 'disgust': 0.077654, 'anger': 0.090723}}, {'text': 'Le Flu', 'sentiment': {'score': -0.826643, 'label': 'negative'}, 'relevance': 0.513504, 'emotion': {'sadness': 0.130634, 'joy': 0.091421, 'fear': 0.087333, 'disgust': 0.037238, 'anger': 0.031729}}],,,
[{'text': 'Kojo Funds', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.996868, 'emotion': {'sadness': 0.022614, 'joy': 0.115222, 'fear': 0.020153, 'disgust': 0.57721, 'anger': 0.252097}}, {'text': 'RT', 'sentiment': {'score': 0.353682, 'label': 'positive'}, 'relevance': 0.771907, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
[{'text': 'clickspam noob', 'sentiment': {'score': -0.541947, 'label': 'negative'}, 'relevance': 0.969913, 'emotion': {'sadness': 0.164527, 'joy': 0.151539, 'fear': 0.102866, 'disgust': 0.072571, 'anger': 0.090183}}, {'text': 'tweet', 'sentiment': {'score': 0.350522, 'label': 'positive'}, 'relevance': 0.798141, 'emotion': {'sadness': 0.187582, 'joy': 0.495775, 'fear': 0.052943, 'disgust': 0.26723, 'anger': 0.057339}}],,,
[{'text': 'flu', 'sentiment': {'score': -0.778871, 'label': 'negative'}, 'relevance': 0.986734, 'emotion': {'sadness': 0.167566, 'joy': 0.019169, 'fear': 0.102812, 'disgust': 0.045184, 'anger': 0.032929}}, {'text': 'fly', 'sentiment': {'score': -0.778871, 'label': 'negative'}, 'relevance': 0.644467, 'emotion': {'sadness': 0.167566, 'joy': 0.019169, 'fear': 0.102812, 'disgust': 0.045184, 'anger': 0.032929}}],,,
[{'text': 'Flu update', 'sentiment': {'score': -0.701844, 'label': 'negative'}, 'relevance': 0.92007, 'emotion': {'sadness': 0.083002, 'joy': 0.037464, 'fear': 0.161716, 'disgust': 0.009849, 'anger': 0.042249}}, {'text': 'Cautiously', 'sentiment': {'score': 0.605721, 'label': 'positive'}, 'relevance': 0.721146, 'emotion': {'sadness': 0.137355, 'joy': 0.656831, 'fear': 0.076961, 'disgust': 0.038703, 'anger': 0.051552}}],,,
[{'text': 'dad', 'sentiment': {'score': -0.710825, 'label': 'negative'}, 'relevance': 0.906517, 'emotion': {'sadness': 0.195094, 'joy': 0.026148, 'fear': 0.114571, 'disgust': 0.041736, 'anger': 0.075028}}, {'text': 'flu', 'sentiment': {'score': -0.710825, 'label': 'negative'}, 'relevance': 0.826673, 'emotion': {'sadness': 0.195094, 'joy': 0.026148, 'fear': 0.114571, 'disgust': 0.041736, 'anger': 0.075028}}],,,
[{'text': 'flu family', 'sentiment': {'score': -0.63303, 'label': 'negative'}, 'relevance': 0.953641, 'emotion': {'sadness': 0.060601, 'joy': 0.006709, 'fear': 0.058714, 'disgust': 0.076921, 'anger': 0.591828}}, {'text': 'life', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.538697, 'emotion': {'sadness': 0.152526, 'joy': 0.581265, 'fear': 0.054425, 'disgust': 0.021248, 'anger': 0.051719}}],,,
[{'text': 'mental illness', 'sentiment': {'score': -0.744185, 'label': 'negative'}, 'relevance': 0.907526, 'emotion': {'sadness': 0.866955, 'joy': 0.043422, 'fear': 0.060473, 'disgust': 0.002571, 'anger': 0.087276}}],,,,,,,,,,,,
[{'text': 'flu', 'sentiment': {'score': -0.764765, 'label': 'negative'}, 'relevance': 0.990923, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.931034, 'disgust': 0.0, 'anger': 0.0}}],,,,,,,,,,,,
Not enough data,,,,,,,,,,,,,,,,,,,,
[{'text': 'pharmacies', 'sentiment': {'score': -0.584931, 'label': 'negative'}, 'relevance': 0.936927, 'emotion': {'sadness': 0.15379, 'joy': 0.046498, 'fear': 0.110003, 'disgust': 0.073654, 'anger': 0.098657}}, {'text': 'chances', 'sentiment': {'score': -0.662647, 'label': 'negative'}, 'relevance': 0.913457, 'emotion': {'sadness': 0.378411, 'joy': 0.501558, 'fear': 0.027968, 'disgust': 0.056761, 'anger': 0.023928}}],,,
[{'text': 'revenge', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.957785, 'emotion': {'sadness': 0.146797, 'joy': 0.271436, 'fear': 0.039078, 'disgust': 0.013968, 'anger': 0.406975}}, {'text': 'flu', 'sentiment': {'score': -0.614102, 'label': 'negative'}, 'relevance': 0.89252, 'emotion': {'sadness': 0.065853, 'joy': 0.039738, 'fear': 0.034427, 'disgust': 0.081003, 'anger': 0.07729}}],,,
[{'text': 'freakin sniffles', 'sentiment': {'score': -0.896831, 'label': 'negative'}, 'relevance': 0.951706, 'emotion': {'sadness': 0.280975, 'joy': 0.013435, 'fear': 0.106933, 'disgust': 0.028261, 'anger': 0.111853}}, {'text': 'flu', 'sentiment': {'score': -0.896831, 'label': 'negative'}, 'relevance': 0.565715, 'emotion': {'sadness': 0.280975, 'joy': 0.013435, 'fear': 0.106933, 'disgust': 0.028261, 'anger': 0.111853}}],,,
[{'text': 'Flu Truther', 'sentiment': {'score': -0.646201, 'label': 'negative'}, 'relevance': 0.996218, 'emotion': {'sadness': 0.040716, 'joy': 0.050856, 'fear': 0.873678, 'disgust': 0.063666, 'anger': 0.029057}}],,,,,,,,,,,,
[{'text': 'ikteyken bile bo', 'sentiment': {'score': -0.494393, 'label': 'negative'}, 'relevance': 0.958286, 'emotion': {'sadness': 0.151545, 'joy': 0.174219, 'fear': 0.093654, 'disgust': 0.072945, 'anger': 0.08686}}, {'text': 'dururlar ama', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.553987, 'emotion': {'sadness': 0.151545, 'joy': 0.177098, 'fear': 0.093654, 'disgust': 0.072945, 'anger': 0.08686}}],,,
[{'text': 'storm', 'sentiment': {'score': -0.716182, 'label': 'negative'}, 'relevance': 0.965648, 'emotion': {'sadness': 0.126884, 'joy': 0.015887, 'fear': 0.486197, 'disgust': 0.249682, 'anger': 0.234945}}, {'text': 'https://t.co/8XrfkRmqoM', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.706005, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
[{'text': 'https://t.co/DkYNPe34sh', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.949892, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,,,,,,,,,,
[{'text': 'stomach flu', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.937669, 'emotion': {'sadness': 0.142871, 'joy': 0.410492, 'fear': 0.108306, 'disgust': 0.114225, 'anger': 0.01975}}, {'text': 'Morocco', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.714393, 'emotion': {'sadness': 0.142871, 'joy': 0.410492, 'fear': 0.108306, 'disgust': 0.114225, 'anger': 0.01975}}],,,
[{'text': 'young farmer', 'sentiment': {'score': -0.363108, 'label': 'negative'}, 'relevance': 0.954818, 'emotion': {'sadness': 0.751203, 'joy': 0.021624, 'fear': 0.208886, 'disgust': 0.168919, 'anger': 0.135607}}, {'text': 'kidneys', 'sentiment': {'score': -0.363108, 'label': 'negative'}, 'relevance': 0.807094, 'emotion': {'sadness': 0.751203, 'joy': 0.021624, 'fear': 0.208886, 'disgust': 0.168919, 'anger': 0.135607}}],,,
Not enough data,,,,,,,,,,,,,,,,,,,,
[{'text': 'fighter Leanne Owen', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.972726, 'emotion': {'sadness': 0.308161, 'joy': 0.448845, 'fear': 0.13793, 'disgust': 0.051386, 'anger': 0.069816}}, {'text': 'World Parkinsons', 'sentiment': {'score': -0.473729, 'label': 'negative'}, 'relevance': 0.703531, 'emotion': {'sadness': 0.203362, 'joy': 0.653393, 'fear': 0.051221, 'disgust': 0.045542, 'anger': 0.051518}}],,,
[{'text': 'flu jab', 'sentiment': {'score': -0.53931, 'label': 'negative'}, 'relevance': 0.930339, 'emotion': {'sadness': 0.049046, 'joy': 0.034567, 'fear': 0.058177, 'disgust': 0.025991, 'anger': 0.026029}}, {'text': 'Eat plenty', 'sentiment': {'score': 0.563386, 'label': 'positive'}, 'relevance': 0.739543, 'emotion': {'sadness': 0.228435, 'joy': 0.259117, 'fear': 0.1351, 'disgust': 0.439426, 'anger': 0.047324}}],,,
[{'text': 'panic attack', 'sentiment': {'score': -0.64269, 'label': 'negative'}, 'relevance': 0.98892, 'emotion': {'sadness': 0.225084, 'joy': 0.02012, 'fear': 0.869225, 'disgust': 0.029712, 'anger': 0.054524}}, {'text': 'list', 'sentiment': {'score': -0.64269, 'label': 'negative'}, 'relevance': 0.54211, 'emotion': {'sadness': 0.225084, 'joy': 0.02012, 'fear': 0.869225, 'disgust': 0.029712, 'anger': 0.054524}}],,,
[{'text': 'Ama sor vatan', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.92858, 'emotion': {'sadness': 0.148831, 'joy': 0.182451, 'fear': 0.091248, 'disgust': 0.074744, 'anger': 0.088473}}, {'text': 'askerlik dedin mi', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.707251, 'emotion': {'sadness': 0.163751, 'joy': 0.201603, 'fear': 0.069713, 'disgust': 0.072542, 'anger': 0.108045}}],,,
[{'text': 'Blind hubris', 'sentiment': {'score': -0.528383, 'label': 'negative'}, 'relevance': 0.968246, 'emotion': {'sadness': 0.740714, 'joy': 0.036844, 'fear': 0.146979, 'disgust': 0.033098, 'anger': 0.111321}}, {'text': 'RT', 'sentiment': {'score': 0.467546, 'label': 'positive'}, 'relevance': 0.822862, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
[{'text': 'Flu', 'sentiment': {'score': -0.7561, 'label': 'negative'}, 'relevance': 0.969866, 'emotion': {'sadness': 0.125522, 'joy': 0.027503, 'fear': 0.11605, 'disgust': 0.056202, 'anger': 0.039836}}, {'text': 'https://t.co/n89iZuNFhS', 'sentiment': {'score': -0.7561, 'label': 'negative'}, 'relevance': 0.530685, 'emotion': {'sadness': 0.125522, 'joy': 0.027503, 'fear': 0.11605, 'disgust': 0.056202, 'anger': 0.039836}}],,,
[{'text': 'mental illness', 'sentiment': {'score': -0.647177, 'label': 'negative'}, 'relevance': 0.920373, 'emotion': {'sadness': 0.846578, 'joy': 0.114317, 'fear': 0.029137, 'disgust': 0.009429, 'anger': 0.032793}}, {'text': 'brother', 'sentiment': {'score': -0.647177, 'label': 'negative'}, 'relevance': 0.781851, 'emotion': {'sadness': 0.846578, 'joy': 0.114317, 'fear': 0.029137, 'disgust': 0.009429, 'anger': 0.032793}}],,,
[{'text': 'Granit', 'sentiment': {'score': -0.682555, 'label': 'negative'}, 'relevance': 0.902878, 'emotion': {'sadness': 0.069996, 'joy': 0.019107, 'fear': 0.097457, 'disgust': 0.035695, 'anger': 0.027334}}, {'text': 'squad', 'sentiment': {'score': -0.57034, 'label': 'negative'}, 'relevance': 0.652005, 'emotion': {'sadness': 0.477535, 'joy': 0.200928, 'fear': 0.005846, 'disgust': 0.022456, 'anger': 0.03049}}],,,
[{'text': 'meter attach', 'sentiment': {'score': -0.352755, 'label': 'negative'}, 'relevance': 0.911058, 'emotion': {'sadness': 0.206534, 'joy': 0.291062, 'fear': 0.41047, 'disgust': 0.089617, 'anger': 0.113897}}, {'text': 'peter4buckley A neon', 'sentiment': {'score': -0.352755, 'label': 'negative'}, 'relevance': 0.723713}],,,,,,,,
[{'text': 'pertama kerja masih', 'sentiment': {'score': -0.366755, 'label': 'negative'}, 'relevance': 0.982384, 'emotion': {'sadness': 0.069996, 'joy': 0.019107, 'fear': 0.097457, 'disgust': 0.035695, 'anger': 0.027334}}, {'text': 'Untung ada suami', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.706926, 'emotion': {'sadness': 0.08066, 'joy': 0.090909, 'fear': 0.056611, 'disgust': 0.054417, 'anger': 0.058575}}],,,
[{'text': 'flu season', 'sentiment': {'score': -0.778537, 'label': 'negative'}, 'relevance': 0.91046, 'emotion': {'sadness': 0.327852, 'joy': 0.009459, 'fear': 0.174402, 'disgust': 0.161827, 'anger': 0.240451}}, {'text': 'https://t.co/tyClKAaIhU https://t.co/E7b4jr0mOQ', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.717819, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
[{'text': 'bad everyones', 'sentiment': {'score': -0.610313, 'label': 'negative'}, 'relevance': 0.993856, 'emotion': {'sadness': 0.427158, 'joy': 0.10639, 'fear': 0.218187, 'disgust': 0.258257, 'anger': 0.181583}}, {'text': 'hand hygiene', 'sentiment': {'score': -0.610313, 'label': 'negative'}, 'relevance': 0.796695, 'emotion': {'sadness': 0.427158, 'joy': 0.10639, 'fear': 0.218187, 'disgust': 0.258257, 'anger': 0.181583}}],,,
[{'text': 'Flu meds', 'sentiment': {'score': -0.710675, 'label': 'negative'}, 'relevance': 0.901953, 'emotion': {'sadness': 0.129651, 'joy': 0.003823, 'fear': 0.344003, 'disgust': 0.064545, 'anger': 0.386581}}, {'text': 'hate antibiotics', 'sentiment': {'score': -0.710675, 'label': 'negative'}, 'relevance': 0.770664, 'emotion': {'sadness': 0.129651, 'joy': 0.003823, 'fear': 0.344003, 'disgust': 0.064545, 'anger': 0.386581}}],,,
[],,,,,,,,,,,,,,,,,,,,
[{'text': 'wag mo ko', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.991516, 'emotion': {'sadness': 0.134841, 'joy': 0.079184, 'fear': 0.133149, 'disgust': 0.065176, 'anger': 0.064564}}, {'text': 'MADAMI AKONG DEADLINES', 'sentiment': {'score': -0.524127, 'label': 'negative'}, 'relevance': 0.834306, 'emotion': {'sadness': 0.173565, 'joy': 0.093891, 'fear': 0.443303, 'disgust': 0.052765, 'anger': 0.161483}}],,,
[{'text': 'Yup yup yup', 'sentiment': {'score': -0.614143, 'label': 'negative'}, 'relevance': 0.995631, 'emotion': {'sadness': 0.096769, 'joy': 0.087205, 'fear': 0.048763, 'disgust': 0.026936, 'anger': 0.037114}}, {'text': 'flu', 'sentiment': {'score': -0.614143, 'label': 'negative'}, 'relevance': 0.267741, 'emotion': {'sadness': 0.096769, 'joy': 0.087205, 'fear': 0.048763, 'disgust': 0.026936, 'anger': 0.037114}}],,,
[{'text': 'BestSeller', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.946611}, {'text': 'RT', 'sentiment': {'score': 0.354015, 'label': 'positive'}, 'relevance': 0.915721, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,,,,,,
[{'text': 'Sheesh idk', 'sentiment': {'score': -0.821162, 'label': 'negative'}, 'relevance': 0.900115, 'emotion': {'sadness': 0.175307, 'joy': 0.171496, 'fear': 0.091248, 'disgust': 0.074744, 'anger': 0.108828}}, {'text': 'flu games', 'sentiment': {'score': -0.652448, 'label': 'negative'}, 'relevance': 0.769501, 'emotion': {'sadness': 0.193287, 'joy': 0.081799, 'fear': 0.076579, 'disgust': 0.039609, 'anger': 0.029355}}],,,
[{'text': 'stomach flu', 'sentiment': {'score': -0.812239, 'label': 'negative'}, 'relevance': 0.98035, 'emotion': {'sadness': 0.101773, 'joy': 0.03365, 'fear': 0.276249, 'disgust': 0.117313, 'anger': 0.034852}}],,,,,,,,,,,,
[{'text': 'killer sore throat', 'sentiment': {'score': -0.944094, 'label': 'negative'}, 'relevance': 0.932875, 'emotion': {'sadness': 0.209038, 'joy': 0.011525, 'fear': 0.75656, 'disgust': 0.050544, 'anger': 0.269993}}, {'text': 'sleep', 'sentiment': {'score': -0.944094, 'label': 'negative'}, 'relevance': 0.573559, 'emotion': {'sadness': 0.209038, 'joy': 0.011525, 'fear': 0.75656, 'disgust': 0.050544, 'anger': 0.269993}}],,,
Not enough data,,,,,,,,,,,,,,,,,,,,
[{'text': 'synthetic biology', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.947313, 'emotion': {'sadness': 0.155898, 'joy': 0.190063, 'fear': 0.108026, 'disgust': 0.07163, 'anger': 0.082872}}, {'text': 'cashier-less shop', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.788762, 'emotion': {'sadness': 0.552362, 'joy': 0.15473, 'fear': 0.117855, 'disgust': 0.067308, 'anger': 0.131099}}],,,
[{'text': 'Health Congress  Join', 'sentiment': {'score': -0.39168, 'label': 'negative'}, 'relevance': 0.970587}, {'text': 'major topic', 'sentiment': {'score': -0.39168, 'label': 'negative'}, 'relevance': 0.797422, 'emotion': {'sadness': 0.124733, 'joy': 0.1036, 'fear': 0.073746, 'disgust': 0.012076, 'anger': 0.037196}}],,,,,,,,
[{'text': 'mental illness https://t.co/NCwMM0RQKw', 'sentiment': {'score': -0.386439, 'label': 'negative'}, 'relevance': 0.987811, 'emotion': {'sadness': 0.873821, 'joy': 0.044183, 'fear': 0.059087, 'disgust': 0.004607, 'anger': 0.071941}}, {'text': 'Signs', 'sentiment': {'score': -0.386439, 'label': 'negative'}, 'relevance': 0.291581, 'emotion': {'sadness': 0.873821, 'joy': 0.044183, 'fear': 0.059087, 'disgust': 0.004607, 'anger': 0.071941}}],,,
[{'text': 'high crime rate', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.968456, 'emotion': {'sadness': 0.186391, 'joy': 0.067059, 'fear': 0.113174, 'disgust': 0.322703, 'anger': 0.132368}}, {'text': 'AlabamaFTBL Don', 'sentiment': {'score': 0.411299, 'label': 'positive'}, 'relevance': 0.811848}],,,,,,,,
[{'text': 'flu', 'sentiment': {'score': -0.692779, 'label': 'negative'}, 'relevance': 0.907763, 'emotion': {'sadness': 0.107918, 'joy': 0.018201, 'fear': 0.169446, 'disgust': 0.028655, 'anger': 0.043183}}, {'text': 'https://t.co/UMJZobiBJ5', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.641741, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
[{'text': 'mental illness', 'sentiment': {'score': -0.662824, 'label': 'negative'}, 'relevance': 0.974932, 'emotion': {'sadness': 0.673611, 'joy': 0.011015, 'fear': 0.057264, 'disgust': 0.057311, 'anger': 0.489675}}, {'text': 'hate', 'sentiment': {'score': -0.662824, 'label': 'negative'}, 'relevance': 0.849704, 'emotion': {'sadness': 0.673611, 'joy': 0.011015, 'fear': 0.057264, 'disgust': 0.057311, 'anger': 0.489675}}],,,
[{'text': 'Im', 'sentiment': {'score': -0.904975, 'label': 'negative'}, 'relevance': 0.917327, 'emotion': {'sadness': 0.873337, 'joy': 0.001328, 'fear': 0.253879, 'disgust': 0.063581, 'anger': 0.055596}}, {'text': 'Brandon', 'sentiment': {'score': -0.685052, 'label': 'negative'}, 'relevance': 0.912088, 'emotion': {'sadness': 0.708205, 'joy': 0.028491, 'fear': 0.150591, 'disgust': 0.156513, 'anger': 0.110879}}],,,
[],,,,,,,,,,,,,,,,,,,,
